"variable","unit","h0","h1","h2","h4","h8","h12","h16","h20"
"PEX","pct_deviation",0.00134,0.00061,0.00201,0.00804,0.01818,0.02211,0.02528,0.02902
"PG","pct_deviation",0.00164,-0.00075,9e-04,0.00634,0.01706,0.0216,0.02537,0.0293
"PGNE","pct_deviation",0.00131,0.00141,0.00412,0.00937,0.02157,0.02559,0.02633,0.02869
"PH","pct_deviation",0,-0.02013,-0.08249,-0.29914,-0.60757,-0.5553,-0.44102,-0.3615
"PI_E","pct_deviation",0,0,0,0,0,0,0,0
"PIAD","pct_deviation",0.00068,-0.00377,-0.00627,-0.00759,0.00866,0.01834,0.0216,0.02452
"PIB","pct_deviation",2e-05,-0.00116,-0.00354,-0.00815,0.01482,0.03078,0.02811,0.02567
"PIBN","pct_deviation",-0.00029,-0.00401,-0.00899,-0.01551,0.0144,0.03968,0.02972,0.02277
"PIBRE","pct_deviation",0.00074,0.00023,0.00039,0.00415,0.01578,0.02168,0.02547,0.02935
"PID","pct_deviation",0,5e-05,4e-05,-0.00011,0.00178,0.009,0.01839,0.02638
"PM","pct_deviation",-0.00167,-0.02481,-0.05008,-0.08049,-0.05424,-0.03198,-0.01272,-0.00082
"PMCG","pct_deviation",-0.00146,-0.02184,-0.04606,-0.07764,-0.05486,-0.03289,-0.01366,-0.0015
"POIL","pct_deviation",-0.00239,-0.03498,-0.06318,-0.09393,-0.05505,-0.02868,-0.00799,0.00335
"POTC","pct_deviation",0,0.00025,0.00017,0.00073,0.00688,0.01409,0.01944,0.02393
"PRT","pct_deviation",0,0.00069,0.00287,0.01037,0.03928,0.07525,0.10493,0.12415
"PTM","pct_deviation",0.00133,6e-04,0.00202,0.00804,0.01816,0.02214,0.02534,0.02905
"PW","pct_deviation",0,0.00399,0.01091,0.02599,0.03863,0.04044,0.04261,0.04447
"PX","pct_deviation",-0.00099,-0.02006,-0.03625,-0.05494,-0.03239,-0.01658,-0.00418,0.00496
"PXAG","pct_deviation",-0.00126,-0.01854,-0.03407,-0.05281,-0.03695,-0.02485,-0.01387,-0.00671
"PXM","pct_deviation",-0.00096,-0.01437,-0.03002,-0.05228,-0.04556,-0.03439,-0.02118,-0.01051
"PXO","pct_deviation",8e-04,-0.00419,-0.00421,0.00754,0.04076,0.05264,0.05476,0.05194
"PXRE","pct_deviation",-0.002,-0.02932,-0.05338,-0.08086,-0.05117,-0.02967,-0.01166,-9e-04
"PXS","pct_deviation",0.00115,-3e-05,0.00044,0.00547,0.01678,0.02157,0.02531,0.02925
"PY","pct_deviation",0.00089,-0.0022,0.00158,0.0104,0.02613,0.02865,0.02694,0.03042
"R2R","pct_deviation",13.2489,2.47755,2.78297,2.40162,2.04728,2.79806,12.65795,-2.0394
"RBR","pct_deviation",1.34,2.86604,3.4514,2.36424,-0.06755,-0.13741,0.84309,0.94385
"RC","pct_deviation",0.0035,0.00777,0.01537,0.01793,-0.01044,-0.01482,-0.00902,-0.0058
"RCR","pct_deviation",3.95532,5.08881,6.08881,4.43224,0.66788,0.54504,-10.37909,66.12423
"REWI","pct_deviation",0.00374,0.03566,0.06547,0.1024,0.07375,0.05098,0.03333,0.02587
"RLC","pct_deviation",-0.00131,0.00398,0.01063,0.02576,0.03065,0.02908,0.03126,0.03143
"RMR","pct_deviation",0.7588,1.78524,2.39693,2.01247,0.25788,0.09781,0.40008,0.41729
"RMRE","pct_deviation",0.71559,1.77108,2.48996,2.39596,0.51762,0.22014,0.49564,0.5721
"RPH","pct_deviation",-0.00133,-0.02073,-0.0845,-0.30716,-0.62562,-0.57731,-0.46624,-0.39044
"RSTAR","pct_deviation",0,0,0,0,0,0,0,0
"RTWI","pct_deviation",0.00372,0.03559,0.06524,0.10207,0.07325,0.05083,0.03333,0.0257
"RTWI_CONST","pct_deviation",0,0,0,0,0,0,0,0
"RULC","pct_deviation",-0.15593,-0.07739,-0.05041,0.01253,0.04372,0.0273,0.02371,0.02188
"RULCY","pct_deviation",-0.15551,-0.07378,-0.04788,0.0115,0.03915,0.02425,0.02311,0.02015
"SD","pct_deviation",0,0,0,0,0,0,0,0
"TDLLA","pct_deviation",0,0,0,0,0,0,0,0
"TDLLHPP","pct_deviation",0,0,0,0,0,0,0,0
"TDLLPOP","pct_deviation",0,0,0,0,0,0,0,0
"TLLA","pct_deviation",0,0,0,0,0,0,0,0
"TLLHPP","pct_deviation",0,0,0,0,0,0,0,0
"TLLPOP","pct_deviation",0,0,0,0,0,0,0,0
"TLUR","pct_deviation",0,0,0,0,0,0,0,0
"TOT","pct_deviation",0.00068,0.00475,0.01384,0.02557,0.02187,0.0154,0.00854,0.00579
"TY","pct_deviation",0,0,0,0,0,0,0,0
"TY_POT","pct_deviation",0,0,0,0,0,0,0,0
"V","pct_deviation",0,-0.02753,2.82832,0.03252,0.00507,-0.03006,-0.00392,0.01227
"WP","pct_deviation",0,0,0,0,0,0,0,0
"WPAG","pct_deviation",0,0,0,0,0,0,0,0
"WPCOM","pct_deviation",0,0,0,0,0,0,0,0
"WPOIL","pct_deviation",0,0,0,0,0,0,0,0
"WPX","pct_deviation",0,0,0,0,0,0,0,0
"WR2R","pct_deviation",0,0,0,0,0,0,0,0
"WR2SP","pct_deviation",-0.19702,1.2132,1.01595,1.03063,0.65335,0.64517,0.63077,6.94864
"WRR","pct_deviation",0,0,0,0,0,0,0,0
"WRSP","pct_deviation",2.43215,3.12069,3.74282,2.64438,0.337,0.17189,0.83472,1.46606
"WY","pct_deviation",0,0,0,0,0,0,0,0
"X","pct_deviation",-0.00014,-0.00139,-0.00312,-0.00619,-0.00733,-0.00645,-0.00492,-0.00437
"XAG","pct_deviation",0,-0.00019,-0.00198,-0.00832,-0.01489,-0.01428,-0.01174,-0.00912
"XAGEXRAIN","pct_deviation",0,-0.00019,-0.00198,-0.00832,-0.01489,-0.01428,-0.01174,-0.00912
"XM","pct_deviation",0,-0.00011,-0.00117,-0.00506,-0.01062,-0.01093,-0.00911,-0.00703
"XO","pct_deviation",0,-0.00049,-0.00497,-0.01943,-0.04229,-0.05154,-0.052,-0.0485
"XRE","pct_deviation",0,0,0,0,3e-05,0.00013,-1e-04,-9e-04
"XS","pct_deviation",-0.00064,-0.00611,-0.0112,-0.01744,-0.01231,-0.00826,-0.00514,-0.00381
"Y","pct_deviation",0.17945,0.13498,0.1272,0.08105,0.02391,0.02502,0.02764,0.02756
